country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ethiopia,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,1.22,0.299,0.0497,0,0,0,0,0,0,0.371,0.601,0.361,0.584,2.53,4.09,5.24,7.27
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48,8.62,8.58,9.76,9.86,10.3,8.51,11.4,13.3,12.1,12.5,11.2,12.1,11.2,12.3,13.7,13.3,12.5,13.8,12.5,14,16,16.6,18,18.9,20.1
France,0,0,0,0,0,0,0.352,0.518,0.751,0.776,0.492,0.459,0.481,0.439,0.417,0.379,0.29,0.293,0.298,0.294,0.279,0.275,0.285,0.27,0.268,0.25,0.251,0.246,0.237,0.335,0.459,0.465,0.464,0.421,0.456,0.475,0.477,0.537,0.527,0.555,0.568,0.637,0.688,0.733,0.771,0.848,1.06,1.47,1.79,2.39,2.74,3.52,4.34,4.58,5.19,6.2
Gabon,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307,0.812,0.806,0.801,0.844,0.79,0.577,0.557,0.521,0.527,0.532,0.498,0.472,0.456,0.519,0.508,0.48,0.461,0.439,0.491,0.465,0.441,0.555,0.525,0.601,0.564
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0.824,0.846,0.814,0.778,0.268,0.287,0.297,0.287,0.282,0.283,0.612,0.627,0.565,0.518,0.526,0.544,0.498,0.435,0.434,0.456,0.304,0.39,0.438,0.506,0.667,0.779,0.834,1.04,1.39,1.64,2.4,2.61,3.67,4.62,5.98,6.96,8.16,10.6,11.5,12.9,13.4,17.5,19.5,20.4,23,26.3
Ghana,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233,0.0309,0.0261
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332,0.00302,0.00292,0.00575,0.0056,0.0242,0.126,0.0941,0.0848,0.0896,0.0832,0.152,0.33,0.844,1.57,1.44,1.94,2.12,2.34,3.01,3.19,3.88,4.6,5.34,6.98,9.46,14,15.3,16.9
Guatemala,,,,,,,,,,,,3.93,3.93,4.74,6.33,5.55,6.22,4.95,3.76,2.97,2.66,5.3,6.32,5.57,5.37,4.95,6.21,6.78,7.01,11.1,13,14.4,12.6,12.8,12.5,12.6,13.1,15.1,6.93,11.5,10,10.4,10.2,11.4,11.4,11,11.5,13,13.3,16.6,20.6,19,19.5,20.3,23.4,25.3
Haiti,,,,,,,,,,,,14.6,11.3,9.84,7.95,6.06,6.06,5.74,4.9,4.29,3.82,3.23,3.08,2.92,2.84,3.4,4.51,3.24,2.99,2.78,2.85,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291,0.0274,0.232,0.731,0.794,1.09,2.28,2.37,2.65,3.01,2.54,2.36,10,13.3,12.8,11.5,16.2
Hungary,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0.112,0.0855,0.0773,0.0753,0.0135,0.0598,0.0801,0.145,0.118,0.134,0.165,0.142,0.15,0.161,0.172,0.185,0.195,0.119,0.483,2.17,4.66,3.64,4.19,5.36,7.43,7.58,6.9,7.02,8.5,9.66,9.81
Iceland,0,0,0,0,0,0,0,0,0,0.219,0.874,0.802,1.23,1.12,0.338,0.775,0.776,0.608,0.739,1.66,1.57,4.25,4.87,5.04,4.88,4.92,5.47,5.89,5.81,6,6.65,6.3,5.06,5.42,5.44,5.82,6.75,6.71,10.4,15.8,17.2,18.1,17,16.5,17.2,19.1,26.5,29.9,24.5,27,26.2,27.3,29.7,29,29,26.7
